"tax_prd","tax_prd_yr","formtype","pdf_url","updated","totrevenue","totfuncexpns","totassetsend","totliabend","pct_compnsatncurrofcr","tax_pd","subseccd","unrelbusinccd","initiationfees","grsrcptspublicuse","grsincmembers","grsincother","totcntrbgfts","totprgmrevnue","invstmntinc","txexmptbndsproceeds","royaltsinc","grsrntsreal","grsrntsprsnl","rntlexpnsreal","rntlexpnsprsnl","rntlincreal","rntlincprsnl","netrntlinc","grsalesecur","grsalesothr","cstbasisecur","cstbasisothr","gnlsecur","gnlsothr","netgnls","grsincfndrsng","lessdirfndrsng","netincfndrsng","grsincgaming","lessdirgaming","netincgaming","grsalesinvent","lesscstofgoods","netincsales","miscrevtot11e","compnsatncurrofcr","othrsalwages","payrolltx","profndraising","txexmptbndsend","secrdmrtgsend","unsecurednotesend","retainedearnend","totnetassetend","nonpfrea","gftgrntsrcvd170","txrevnuelevied170","srvcsval170","grsinc170","grsrcptsrelated170","totgftgrntrcvd509","grsrcptsadmissn509","txrevnuelevied509","srvcsval509","subtotsuppinc509","totsupp509","ein"
202106,2021,0,NA,"2023-08-07T19:42:41.961Z",148253926,122470560,87054195,10297491,0,NA,3,"N",0,0,0,0,20299887,127458582,517951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47712,70206,-22494,0,0,0,0,0,0,0,1559291,35688144,2212391,0,0,290284,0,0,76756704,"07",59548316,0,0,3978799,482423880,0,0,0,0,0,0,521638592
202006,2020,0,"https://projects.propublica.org/nonprofits/download-filing?path=04_2021_prefixes_52-54%2F521638592_202006_990_2021040617906204.pdf","2022-07-01T20:34:36.828Z",108449572,106691455,61890068,16421314,0,NA,3,"N",0,0,0,0,10800851,100113307,877940,0,0,0,0,0,0,0,0,0,3055743,0,3055743,0,0,0,0,0,0,0,0,0,0,0,0,0,-3342526,1150446,32486747,2256486,0,0,6609281,0,0,45468754,"7",48280910,0,0,3941441,434511877,0,0,0,0,0,0,521638592
201906,2019,0,"https://projects.propublica.org/nonprofits/download-filing?path=01_2021_prefixes_47-54%2F521638592_201906_990_2021012117606185.pdf","2021-08-30T18:52:47.651Z",103741824,100275193,53501935,9723004,0,NA,3,"N",0,0,0,0,9451619,90377760,1359841,0,0,0,0,0,0,0,0,0,67939,0,67939,5091,0,-5091,-5091,0,0,0,0,0,0,0,0,0,2557695,1184440,30710073,2306177,0,0,2735284,0,0,43778931,"07",45224549,0,0,3440812,403273112,0,0,0,0,0,0,521638592
201806,2018,0,"https://projects.propublica.org/nonprofits/download-filing?path=04_2019_prefixes_47-54%2F521638592_201806_990_2019041916229892.pdf","2021-08-30T18:41:06.804Z",92040037,91588988,50801047,10443248,0,NA,3,"Y",0,0,0,0,9591921,79205523,808479,0,0,0,0,0,0,0,0,0,33620,0,33620,0,0,0,0,0,0,0,0,0,0,0,0,0,2434114,1014084,29195079,2247029,0,0,2703051,0,0,40357799,"07",45044913,0,0,2456657,367376284,0,0,0,0,0,0,521638592
201706,2017,0,NA,"2019-10-15T18:36:17.244Z",97324230,93257226,49990682,10986140,0,NA,3,"N",0,0,0,0,9404038,85268708,414588,0,0,0,0,0,0,0,0,0,51995,0,51995,0,0,0,0,0,0,0,0,0,0,0,0,0,2236896,1398990,28358884,2166457,0,0,2873842,0,0,39004542,"7",48244027,0,0,1769562,334449912,0,0,0,0,0,0,521638592
201606,2016,0,"https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F521638592_201606_990_2017090714711621.pdf","2018-12-10T23:10:34.094Z",90740380,87960629,38911044,9941896,0,NA,3,"N",0,0,0,0,8689572,79546579,480593,0,0,0,0,0,0,0,0,0,65911,0,65911,0,0,0,0,0,0,0,0,0,0,0,0,0,2023636,1143583,26873472,2042745,0,0,1879800,0,0,28969148,"7",45997576,0,0,1770406,292181563,0,0,0,0,0,0,521638592
201506,2015,0,"https://projects.propublica.org/nonprofits/download-filing?path=2016_07_EO%2F52-1638592_990_201506.pdf","2017-06-30T00:37:14.567Z",78994547,73227967,36595107,9476229,0,NA,3,"N",0,0,0,0,7744490,68874542,377311,0,0,0,0,0,0,0,0,0,12500,0,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,1998204,1368949,21035641,1619116,0,0,2237240,0,0,27118878,"7",43967039,0,0,1876723,252498888,0,0,0,0,0,0,521638592
201406,2014,0,"https://projects.propublica.org/nonprofits/download-filing?path=2015_07_EO%2F52-1638592_990_201406.pdf","2017-06-30T00:19:34.896Z",65496356,63171572,32407650,10788537,0,NA,3,"N",0,0,0,0,9271983,55138738,375686,0,0,0,0,0,0,0,0,0,8309601,1237004,8309601,1607366,0,-370362,-370362,0,0,0,0,0,0,0,0,0,1080311,1278075,20333464,1543326,0,0,2903599,0,0,21619113,"7",43062465,0,0,2077578,220115691,0,0,0,0,0,0,521638592
201306,2013,0,"https://projects.propublica.org/nonprofits/download-filing?path=2014_07_EO%2F52-1638592_990_201306.pdf","2017-06-30T00:06:33.084Z",59887223,51004912,37574009,10312535,0,NA,3,"N",0,0,0,0,12791035,45964254,117748,0,0,3636,0,0,0,3636,0,3636,19921902,114239,19119258,127562,802644,-13323,789321,0,0,0,0,0,0,0,0,0,221229,921968,16120813,1247184,0,0,712000,0,0,27261474,"7",40657930,0,0,2367328,199067901,0,0,0,0,0,0,521638592
201206,2012,0,"https://projects.propublica.org/nonprofits/download-filing?path=2013_03_EO%2F52-1638592_990_201206.pdf","2017-06-29T23:50:46.349Z",51295572,45506908,51260998,5234326,0,NA,3,"N",0,0,0,0,7157581,43000359,332973,0,0,82459,0,53609,0,28850,0,28850,9651209,1650000,9495635,1053367,155574,596633,752207,58412,34810,23602,0,0,0,0,0,0,0,765259,13896815,1146263,0,0,0,0,0,46026672,"7",34007706,0,0,2562233,153322616,0,0,0,0,0,0,521638592
201106,2011,0,"https://projects.propublica.org/nonprofits/download-filing?path=2012_06_EO%2F52-1638592_990_201106.pdf","2017-06-29T23:36:50.429Z",46923185,40106809,44670486,3556040,0,NA,3,"N",0,0,0,0,7002785,39520995,437649,0,0,149261,0,103287,0,45974,0,45974,6519178,0,6611208,0,-92030,0,-92030,49355,41543,7812,0,0,0,0,0,0,0,779464,11454085,943513,0,0,0,0,0,41114446,"7",33161451,0,0,2470483,166860241,0,0,0,0,0,0,521638592
